maker,model,size,format,doors,seats,Cylinders,Automatic,Assisted steering,ESP,0-100 kmph (sec),Max speed (km/h),Fuel eff (l/100km),Fuel type
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"5,4",250,"8,8",Superkraftstoff
BMW,3-Series,Medium car,Saloon,4,5,L4,6,S,S,"8,2",224,"5,4",Diesel + partikelfilter
BMW,3-Series,Medium car,Saloon,4,5,L4,6,S,S,"7,9",230,"5,2",Diesel + partikelfilter
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"6,6",242,"7,2",Diesel + partikelfilter
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"6,6",242,"6,8",Diesel + partikelfilter
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"5,9",247,"6,5",Diesel + partikelfilter
BMW,3-Series,Medium car,Estate,5,5,L4,6,S,S,"10,4",206,"7,6",Super Plus
BMW,3-Series,Medium car,Estate,5,5,L4,6,S,S,"9,5",210,6,Super Plus
BMW,3-Series,Medium car,Estate,5,5,L4,6,S,S,"9,4",218,"7,6",Super Plus
BMW,3-Series,Medium car,Estate,5,5,L4,6,S,S,"8,4",226,"6,2",Super Plus
BMW,3-Series,Medium car,Estate,5,5,L6,6,S,S,"7,2",243,"8,6",Super Plus
BMW,3-Series,Medium car,Estate,5,5,L6,6,S,S,"6,9",248,"7,2",Super Plus
BMW,3-Series,Medium car,Estate,5,5,L6,6,S,S,"6,4",250,8,Super Plus
BMW,3-Series,Medium car,Estate,5,5,L6,6,S,S,"6,2",250,"7,3",Super Plus
BMW,3-Series,Medium car,Estate,5,5,L6,6,S,S,"5,7",250,"9,8",Super Plus
BMW,3-Series,Medium car,Estate,5,5,L6,6,S,S,"5,7",250,"9,3",Super Plus
BMW,3-Series,Medium car,Estate,5,5,L6,6,S,S,"5,7",250,"8,5",Superkraftstoff
BMW,3-Series,Medium car,Estate,5,5,L4,6,S,S,"11,2",201,"4,5",Diesel + partikelfilter
BMW,3-Series,Medium car,Estate,5,5,L4,-,S,S,"10,9",204,"5,8",Diesel + partikelfilter
BMW,3-Series,Medium car,Estate,5,5,L4,-,S,S,"9,6",210,"4,8",Diesel + partikelfilter
BMW,3-Series,Medium car,Estate,5,5,L4,6,S,S,"9,4",210,"4,5",Diesel + partikelfilter
BMW,3-Series,Medium car,Estate,5,5,L4,6,S,S,"8,6",223,"5,9",Diesel + partikelfilter
BMW,3-Series,Medium car,Estate,5,5,L4,6,S,S,"8,1",228,"4,9",Diesel + partikelfilter
BMW,3-Series,Medium car,Estate,5,5,L4,6,S,S,"8,3",223,"4,3",Diesel + partikelfilter
BMW,3-Series,Medium car,Estate,5,5,L4,6,S,S,"7,7",233,"4,8",Diesel + partikelfilter
BMW,3-Series,Medium car,Estate,5,5,L6,-,S,S,"7,6",233,"6,6",Diesel + partikelfilter
BMW,3-Series,Medium car,Estate,5,5,L6,6,S,S,"7,6",233,6,Diesel + partikelfilter
BMW,3-Series,Medium car,Estate,5,5,L6,6,S,S,"7,2",240,"5,8",Diesel + partikelfilter
BMW,3-Series,Medium car,Estate,5,5,L6,6,S,S,"6,8",248,"6,7",Diesel + partikelfilter
BMW,3-Series,Medium car,Estate,5,5,L6,6,S,S,"6,2",250,"5,9",Diesel + partikelfilter
BMW,3-Series,Medium car,Estate,5,5,L6,6,S,S,"6,3",250,"7,7",Diesel + partikelfilter
BMW,3-Series,Medium car,Estate,5,5,L6,6,S,S,"6,3",250,"5,8",Diesel + partikelfilter
BMW,3-Series,Medium car,Estate,5,5,L6,6,S,S,"6,1",250,"6,7",Diesel + partikelfilter
BMW,3-Series,Medium car,Estate,5,5,L6,6,S,S,"7,7",240,"9,4",Super Plus
BMW,3-Series,Medium car,Estate,5,5,L6,6,S,S,"7,7",242,8,Super Plus
BMW,3-Series,Medium car,Estate,5,5,L6,6,S,S,"6,6",250,"9,8",Super Plus
BMW,3-Series,Medium car,Estate,5,5,L6,6,S,S,"6,4",250,8,Super Plus
BMW,3-Series,Medium car,Estate,5,5,L6,6,S,S,"5,6",250,"9,8",Super Plus
BMW,3-Series,Medium car,Estate,5,5,L4,6,S,S,"8,5",222,"5,6",Diesel + partikelfilter
BMW,3-Series,Medium car,Estate,5,5,L4,6,S,S,"8,2",228,"5,3",Diesel + partikelfilter
BMW,3-Series,Medium car,Estate,5,5,L6,6,S,S,"6,7",238,"7,4",Diesel + partikelfilter
BMW,3-Series,Medium car,Estate,5,5,L6,6,S,S,"6,7",238,"6,9",Diesel + partikelfilter
BMW,3-Series,Medium car,Estate,5,5,L6,6,S,S,6,245,"6,6",Diesel + partikelfilter
BMW,3-Series,Medium car,Coupe,2,4,L4,-,S,S,"10,7",210,"5,9",Superkraftstoff
BMW,3-Series,Medium car,Coupe,2,4,L4,6,S,S,"9,1",210,"6,3",Superkraftstoff
BMW,3-Series,Medium car,Coupe,2,4,L4,6,S,S,"8,1",230,"6,3",Super Plus
BMW,3-Series,Medium car,Coupe,2,4,L6,6,S,S,"6,9",247,"8,4",Super Plus
BMW,3-Series,Medium car,Coupe,2,4,L6,6,S,S,"6,6",250,"7,1",Super Plus
BMW,3-Series,Medium car,Coupe,2,4,L6,6,S,S,"6,1",250,"8,8",Super Plus
BMW,3-Series,Medium car,Coupe,2,4,L6,6,S,S,6,250,"7,2",Super Plus
BMW,3-Series,Medium car,Coupe,2,4,L6,6,S,S,"5,5",250,"9,5",Super Plus
BMW,3-Series,Medium car,Coupe,2,4,L6,6,S,S,"5,5",250,"9,1",Super Plus
BMW,3-Series,Medium car,Coupe,2,4,V8,-,S,S,"4,8",250,"12,4",Super Plus
BMW,3-Series,Medium car,Coupe,2,4,V8,7,S,S,"4,4",305,"12,7",Superkraftstoff
BMW,3-Series,Medium car,Coupe,2,4,L4,6,S,S,"7,9",232,"4,8",Diesel + partikelfilter
BMW,3-Series,Medium car,Coupe,2,4,L4,6,S,S,"7,5",237,"4,7",Diesel + partikelfilter
BMW,3-Series,Medium car,Coupe,2,4,L6,6,S,S,"7,3",238,"5,9",Diesel + partikelfilter
BMW,3-Series,Medium car,Coupe,2,4,L6,6,S,S,"6,9",244,"5,7",Diesel + partikelfilter
BMW,3-Series,Medium car,Coupe,2,4,L6,6,S,S,"6,6",250,"6,5",Diesel + partikelfilter
BMW,3-Series,Medium car,Coupe,2,4,L6,6,S,S,6,250,"5,7",Diesel + partikelfilter
BMW,3-Series,Medium car,Coupe,2,4,L6,6,S,S,"6,1",250,"8,8",Diesel + partikelfilter
BMW,3-Series,Medium car,Coupe,2,4,L6,6,S,S,"7,2",246,"7,9",Super Plus
BMW,3-Series,Medium car,Coupe,2,4,L6,6,S,S,6,250,8,Super Plus
BMW,3-Series,Medium car,Coupe,2,4,L6,6,S,S,"5,4",250,"9,7",Super Plus
BMW,3-Series,Medium car,Coupe,2,4,L6,6,S,S,"5,3",250,"8,8",Superkraftstoff
BMW,3-Series,Medium car,Coupe,2,4,L4,6,S,S,"8,1",226,"5,4",Diesel + partikelfilter
BMW,3-Series,Medium car,Coupe,2,4,L4,6,S,S,"7,8",232,"5,2",Diesel + partikelfilter
BMW,3-Series,Medium car,Coupe,2,4,L6,6,S,S,"6,5",242,"6,8",Diesel + partikelfilter
BMW,3-Series,Medium car,Coupe,2,4,L6,6,S,S,"5,8",250,"6,5",Diesel + partikelfilter
BMW,3-Series,Medium car,Cabrio,2,4,L4,6,S,S,"10,3",210,"6,6",Superkraftstoff
BMW,3-Series,Medium car,Cabrio,2,4,L4,6,S,S,"9,1",228,"6,6",Super Plus
BMW,3-Series,Medium car,Cabrio,2,4,L6,6,S,S,"7,6",245,"7,6",Super Plus
BMW,3-Series,Medium car,Cabrio,2,4,L6,6,S,S,"6,5",250,"7,7",Super Plus
BMW,3-Series,Medium car,Cabrio,2,4,L6,6,S,S,"5,8",250,"9,5",Super Plus
BMW,3-Series,Medium car,Cabrio,2,4,V8,7,S,S,"5,3",250,"12,9",Superkraftstoff
BMW,3-Series,Medium car,Cabrio,2,4,L4,6,S,S,"8,6",223,"5,3",Diesel + partikelfilter
BMW,3-Series,Medium car,Cabrio,2,4,L4,6,S,S,"8,3",228,"5,1",Diesel + partikelfilter
BMW,3-Series,Medium car,Cabrio,2,4,L6,6,S,S,"7,9",235,"6,2",Diesel + partikelfilter
BMW,3-Series,Medium car,Cabrio,2,4,L6,6,S,S,"7,5",238,"6,1",Diesel + partikelfilter
BMW,3-Series,Medium car,Cabrio,2,4,L6,6,S,S,7,245,"6,5",Diesel + partikelfilter
BMW,3-Series,Medium car,Cabrio,2,4,L6,6,S,S,"6,4",250,"6,1",Diesel + partikelfilter
BMW,3-Series,Medium car,Saloon,4,5,L4,8,S,,"8,9",210,"5,8",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L3,8,S,,"8,9",210,"5,1",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L4,8,S,,"7,6",230,"5,3",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L4,8,S,,"7,3",235,"6,1",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L4,8,S,,"7,2",235,"5,5",Super Plus
