name,description,price,img,linkto,infos2,infos3,infos4,rating
Huawei P SMART NOIR,OS Android 8.0 - Oreo,260,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/huawei_p_smart_noir_n1801234389328A_143717415.JPG,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/huawei_p_smart_noir.html,"Écran tactile 14.27 cm (5,65'') - Full HD+ 2160 x 1080 pixels",Photo 13 mégapixels + 2 mégapixels - Vidéo Full HD 1080p,"Processeur Octo-coeur 2,36GHz - 32Go de mémoire",5/5 (1 avis)
Honor 10 MIDNIGHT BLACK,OS Android 8.1 - Oreo,369,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/honor_10_midnight_black_n1805034410602A_164508595.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/honor_10_midnight_black.html,"Écran tactile 5,84'' - 18:9 Full HD+ 2280 x 1080 pixels",Photo 24 mégapixels + 16 mégapixels - Vidéo Full HD 1080p,"Processeur Octo-coeur 2,36GHz - 64Go de mémoire",5/5 (1 avis)
Samsung Galaxy A7 Noir,"ÉCRAN PANORAMIQUE 6,0’’",362,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_a7_noir_1_n1810034614224A_084757838.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_a7_noir_1.html,STOCKAGE EXTENSIBLE 64 Go + port microSD jusqu'à 512 Go,Lecteur d'empreintes latéral,TRIPLE CAPTEUR PHOTO : 24 MP + 5 MP + 8 MP,5/5 (2 avis)
Huawei Y6 PRO 2017 OR,OS Android 7.0 - Nougat,125,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/huawei_y6_pro_17_gold_n1708234347641A_110511271.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/huawei_y6_pro_17_gold.html,"Ecran tactile 12.7 cm (5"") - HD 1280 X 720 pixels",Photo 13 mégapixels - Vidéo Full HD 1080p,"Processeur Quad-Core 1,4 GHz - 16Go de mémoire",5/5 (1 avis)
Samsung GALAXY J3 2017 NOIR,OS Android 7.0 - Nougat,322,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_j3_2017_noir_n1708084351576A_115945783.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_j3_2017_noir.html,"Ecran tactile 12.7 cm (5"") - HD 1280 X 720 pixels",Photo 13 mégapixels - Vidéo HD,"Processeur Quad-Core 1,4 GHz - 16Go de mémoire",5/5 (1 avis)
Huawei P20 LITE PINK 64GO,OS Android 8.0 - Oreo,578,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/huawei_p20_lite_pink_64go_n1803214399862A_135556557.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/huawei_p20_lite_pink_64go.html,"Ecran tactile FullView 5,84"" FHD",Processeur Octo-coeur Kirin 659,Photo 16 mégapixels - Vidéo Full HD 1080p,5/5 (1 avis)
Honor VIEW 10 NOIR,OS Android 8.0 - Oreo,559,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/honor_view_10_noir_n1801044386884A_172818446.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/honor_view_10_noir.html,"Ecran tactile 15.21 cm (5,99"") - IPS FHD+ 2160 X 1080 pixels",Photo 16 mégapixels + 20 mégapixels - Vidéo UHD 4K,"Processeur octo-cœur 2,36 GHz - 128Go de mémoire",5/5 (1 avis)
Wiko SUNNY3 ANTHRACITE,OS Android 8.0 - Oreo,799,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/wiko_sunny3_anthracite_n1808164522940A_162636174.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/wiko_sunny3_anthracite.html,"Ecran tactile de 5"" (12,7cm) - 480 x 854 pixels",Photo 5 mégapixels - Vidéo HD 720p,"Processeur Quad Core 1,3GHz - 8Go de mémoire",5/5 (1 avis)
Crosscall TREKKER-X4 NOIR,"Ecran super-résistant : IPS Corning Gorilla® Glass 5, 0,9 mm",620,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/crosscall_trekker-x4_noir_n1810084624033A_114048294.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/crosscall_trekker-x4_noir.html,"Processeur OCTO-CORE 2,2GHZ Qualcomm® SnapDragon™ SD660",Résistant à l'eau (norme IP 68) et résistant à la poussière,Appareil photo 12 mégapixels,5/5 (1 avis)
Apple IPHONE 8 PLUS 256 GO ARGENT,OS Apple - iOS 11,679,https://image.mistergooddeal.com/telephonie/telephone_mobile_seul/iphone/apple_iph8_plus_256go_ar_n1709154361121A_180302828.jpg,https://www.mistergooddeal.com/nav/achat/telephonie/telephone_mobile_seul/iphone/apple_iph8_plus_256go_ar.html,"Ecran tactile 13.9 cm (5,5) - 1920 x 1080 pixels",Photo 12 mégapixels grand angle et téléobjectif - Vidéo UHD 4K,Puce A11 Bionic - 256 Go de mémoire,5/5 (1 avis)
